category,technology,version,evidence,age_release_date,status,security_risk,recommendation
Web Server,Apache HTTP Server,2.4.x (Exact sub-version concealed by server config),"Server: Apache response header, HTTP/2 negotiation, .htaccess rewrite behavior",Apache 2.4 released 2012; actively maintained,YELLOW (Legacy configuration),Low-to-Moderate: Conceals sub-version but exposes PHP version header,Migrate to modern cloud-native edge CDN (Cloudflare / Vercel / CloudFront) with automated SSL and edge caching.
Backend Runtime,PHP,7.4.33,x-powered-by: PHP/7.4.33 HTTP response header on every request,"PHP 7.4.33 released Nov 3, 2022. PHP 7.4 reached official End-of-Life on November 28, 2022 (>3.5 years unsupported).",RED (Obsolete / EOL),"High: Unpatched security vulnerabilities, unmaintained runtime, public exposure via x-powered-by header.",Completely deprecate legacy PHP runtime. Migrate to Node.js/TypeScript / Next.js serverless functions or headless CMS API.
JavaScript Library,jQuery,1.12.4,Header of raw/js/jquery.js: 'jQuery JavaScript Library v1.12.4' (Line 2),"Released May 20, 2016 (>10 years old).",RED (Obsolete),Moderate: Contains known XSS CVEs in older DOM parsing functions.,Remove jQuery entirely. Replace with modern vanilla TypeScript / React 19 / Modern DOM APIs.
CSS / UI Framework,Bootstrap,3.4.1,"Header of raw/css/bootstrap.min.css: 'Bootstrap v3.4.1 (https://getbootstrap.com/) | Copyright 2011-2019 Twitter, Inc.'","Bootstrap 3.4.1 released Feb 13, 2019. Bootstrap 3 branch reached End-of-Life in 2019.",RED (Obsolete),"Low-to-Moderate: Obsolete float-based grid, outdated responsive breakpoints, legacy JS plugins.",Replace with modern Tailwind CSS v4 / CSS Grid / Modern Design System Tokens.
Icon System,Font Awesome,4.7.0 (Inferred),"Unicode glyph mappings in style.css (105 fa-angle-right, 00e fa-search-plus), class 'FontAwesome'",Font Awesome 4.7.0 released Oct 2016.,YELLOW (Legacy),"Low: Render blocking webfont, extra layout shift.","Replace font-based icons with inline, tree-shaken Lucide React SVG icons."
Layout / Grid Plugin,Masonry,3.0.0,Header of raw/js/masonry.pkgd.min.js: 'Masonry v3.0.0',Released 2013.,RED (Obsolete),Low: Heavy DOM calculation on main thread causing layout thrashing.,Replace with native CSS Grid / Flexbox or modern lightweight masonry hook.
Slider / Carousel,Slick Carousel,1.6.0,Header of raw/js/slick.min.js: 'Version: 1.6.0 | Author: Ken Wheeler',Released 2016.,YELLOW (Legacy),"Low: Dependent on jQuery, touch latency on modern mobile devices.",Replace with native CSS scroll-snap or Embla Carousel / Swiper (vanilla TS).
Lightbox Plugin,SimpleLightbox,2.2.1,Header of raw/js/simple-lightbox.js: 'Version 2.2.1',Released 2020.,YELLOW (Legacy),Low: Inaccessible modal dialogs lacking ARIA focus trapping.,Replace with accessible native HTML `<dialog>` element with Radix UI / headless dialog.
Video Embed System,jquery.mb.YTPlayer,3.1.11,Header of raw/js/jquery.mb.YTPlayer.js: 'Version: 3.1.11 | Author: Matteo Bicocchi',Released 2017.,RED (Obsolete),"Low-to-Moderate: Uncontrolled third-party YouTube iframes, high network overhead.",Replace with modern HTML5 video tag with WebM/MP4 streaming or lazy-loaded lite-youtube embed.
Animation Library,WOW.js & Animate.css,Legacy WOW.js / Animate.css 2013,raw/js/wow.js and raw/css/animate.css headers,2013-2015.,RED (Obsolete),Low: Scroll event listener thrashing without passive listeners.,"Replace with native CSS `@keyframes`, IntersectionObserver API, or Framer Motion / Motion One."
Third-Party Maps,Google Maps Iframe Embed,Standard iframe embed,Iframe tags pointing to https://www.google.com/maps/embed on contact and location pages,N/A,YELLOW (Basic embed),"Low: Missing frame titles (Axe violation), unoptimized layout shift.",Integrate interactive Google Maps JavaScript API with custom branded map styling and cluster markers.
